project,contract,bidder.name,status,bidder.country,opening.price.currency,opening.price.amount,opening.price.raw,evaluated.price.currency,evaluated.price.amount,evaluated.price.raw,contract.price.currency,contract.price.amount,contract.price.raw
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00018377,Nisha Trading,Rejected,Nepal,,,,,,,,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00018381,BTC Private Limited,Awarded,Nepal,EUR,246120.0,"EUR 246,120.00",NPR,27343932.0,"NPR27,343,932.00",NPR,27343932.0,"NPR27,343,932.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00019918,M.K. Nirman Sewa,Awarded,Nepal,NPR,106729188.0,"NPR 106,729,188.90",NPR,106729188.0,"NPR106,729,188.90",NPR,106729188.0,"NPR106,729,188.90"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00019918,M.K. Nirman Sewa,Evaluated,Nepal,NPR,106729188.0,"NPR 106,729,188.90",NPR,106729188.0,"NPR106,729,188.90",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00019918,Hanuman / Mrit Sanjivani JV,Evaluated,Nepal,NPR,107163339.0,"NPR 107,163,339.97",NPR,107163339.0,"NPR107,163,339.97",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00019918,Bkoi- Bokhim JV,Evaluated,Nepal,NPR,129818641.0,"NPR 129,818,641.53",NPR,112872974.0,"NPR112,872,974.42",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00019918,Danfe-Rayamajhi-Daya J/V,Evaluated,Nepal,NPR,163849826.0,"NPR 163,849,826.57",NPR,113266800.0,"NPR113,266,800.63",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00019918,Nepal Adarsha- Kumar- Aashish JV,Evaluated,Nepal,NPR,119201474.0,"NPR 119,201,474.52",NPR,119201474.0,"NPR119,201,474.52",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00019918,D.S.-Shiva Shakti JV,Evaluated,Nepal,NPR,143588589.0,"NPR 143,588,589.00",NPR,120091391.0,"NPR120,091,391.22",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00019918,Swachchhanda-Arghakhanchi-Babul J/V,Evaluated,Nepal,NPR,120949569.0,"NPR 120,949,569.82",NPR,120949569.0,"NPR120,949,569.82",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00019918,Ashish/Raman JV,Evaluated,Nepal,NPR,124160312.0,"NPR 124,160,312.32",NPR,124160312.0,"NPR124,160,312.32",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00019918,Shanti-Apex JV,Evaluated,Nepal,NPR,160259333.0,"NPR 160,259,333.47",NPR,128022017.0,"NPR128,022,017.29",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00019918,Shyam Sunder Nirman Sewa Pvt Ltd,Evaluated,Nepal,NPR,128281841.0,"NPR 128,281,841.81",NPR,128281841.0,"NPR128,281,841.81",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00019918,Diwa Nirman Sewa,Evaluated,Nepal,NPR,132056728.0,"NPR 132,056,728.22",NPR,132056728.0,"NPR132,056,728.22",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00019918,Chakreshori- Michi.co-Lokpriya J/V,Evaluated,Nepal,NPR,166380124.0,"NPR 166,380,124.31",NPR,166380124.0,"NPR166,380,124.31",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00019918,Sharma - Rajendra JV,Rejected,Nepal,,,,,,,,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00019918,ANK- Prakritik JV,Rejected,Nepal,,,,,,,,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021547,National Bio-Medical Pvt. Ltd,Awarded,Nepal,USD,155372.0,"USD 155,372.10",NPR,13424149.0,"NPR13,424,149.44",NPR,13424149.0,"NPR13,424,149.44"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021547,Maha Shakti Supplier,Rejected,Nepal,NPR,18506880.0,"NPR 18,506,880.00",,,,,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021546,Mahashakti Suppliers,Awarded,Nepal,USD,91177.0,"USD 91,177.92",NPR,7877772.0,"NPR7,877,772.29",NPR,7877772.0,"NPR7,877,772.29"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021546,Hospitec Enterprises Pvt. Ltd,Evaluated,Nepal,USD,110650.0,"USD 110,650.80",NPR,9560229.0,"NPR9,560,229.12",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021546,Becton Dickinson India Private Limited,Evaluated,India,USD,144282.0,"USD 144,282.00",NPR,12465964.0,"NPR12,465,964.80",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021546,National Bio-Medical Pvt. Ltd,Evaluated,Nepal,USD,163485.0,"USD 163,485.00",NPR,14125104.0,"NPR14,125,104.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021541,Atlas Medicine Concern,Awarded,Nepal,NPR,3236800.0,"NPR 3,236,800.00",NPR,3236800.0,"NPR3,236,800.00",NPR,3236800.0,"NPR3,236,800.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021541,Krishna International,Evaluated,Nepal,INR,2355520.0,"INR 2,355,520.00",NPR,3768832.0,"NPR3,768,832.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021544,Hospitec Pharma Pvt. Ltd,Awarded,Nepal,USD,1246740.0,"USD 1,246,740.00",NPR,107718336.0,"NPR107,718,336.00",NPR,107718336.0,"NPR107,718,336.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021545,Chiron Behring Vaccines Private Limited,Awarded,India,INR,137700000.0,"INR 137,700,000.00",NPR,220320000.0,"NPR220,320,000.00",NPR,220320000.0,"NPR220,320,000.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021545,Emerald Pharma,Rejected,Nepal,NPR,211500000.0,"NPR 211,500,000.00",,,,,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021545,Indian Immunological Ltd,Rejected,India,INR,135000000.0,"INR 135,000,000.00",,,,,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021550,Maha Shakti Supplier,Awarded,Nepal,NPR,13380000.0,"NPR 13,380,000.00",NPR,13380000.0,"NPR13,380,000.00",NPR,13380000.0,"NPR13,380,000.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021550,Krishna International,Evaluated,Nepal,USD,148200.0,"USD 148,200.00",NPR,12804480.0,"NPR12,804,480.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021550,Hospitec Pharma Pvt. Ltd,Evaluated,Nepal,USD,169200.0,"USD 169,200.00",NPR,14618880.0,"NPR14,618,880.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021550,Jun Tara Pharmaceuticals,Evaluated,Nepal,USD,186000.0,"USD 186,000.00",NPR,16070400.0,"NPR16,070,400.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021540,Emerald Pharma,Awarded,Nepal,NPR,136380000.0,"NPR 136,380,000.00",NPR,136380000.0,"NPR136,380,000.00",NPR,136380000.0,"NPR136,380,000.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021540,Hospitec Pharma,Rejected,Nepal,NPR,139800000.0,"NPR 139,800,000.00",,,,,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021540,Bayer Pharma AG,Rejected,Germany,USD,1811038.0,"USD 1,811,038.00",,,,,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021548,Hospitec Enterprises Pvt. Ltd,Awarded,Nepal,USD,153906.0,"USD 153,906.48",NPR,13297519.0,"NPR13,297,519.87",NPR,13297519.0,"NPR13,297,519.87"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021548,Krishna International,Evaluated,Nepal,USD,165110.0,"USD 165,110.40",NPR,14265538.0,"NPR14,265,538.56",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021548,National Bio-Medical Pvt. Ltd,Evaluated,Nepal,USD,174636.0,"USD 174,636.00",NPR,15088550.0,"NPR15,088,550.40",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021548,Maha Shakti Supplier,Evaluated,Nepal,USD,180132.0,"USD 180,132.91",NPR,15563483.0,"NPR15,563,483.42",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021548,A.S. Enterprises,Evaluated,Nepal,NPR,19550160.0,"NPR 19,550,160.00",NPR,19550160.0,"NPR19,550,160.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021548,Becton Dickinsion India Private Limited,Evaluated,India,USD,287038.0,"USD 287,038.00",NPR,24800083.0,"NPR24,800,083.20",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00021549,Glovax Co. Ltd,Awarded,Korea Republic of,USD,613284.0,"USD 613,284.00",NPR,52987737.0,"NPR52,987,737.60",NPR,52987737.0,"NPR52,987,737.60"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022092,Krishna International,Awarded,Nepal,INR,412500.0,"INR 412,500.00",NPR,660618.0,"NPR660,618.75",NPR,660618.0,"NPR660,618.75"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022092,Nilkamal Limited,Evaluated,India,USD,8363.0,"USD 8,363.25",NPR,731449.0,"NPR731,449.85",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022092,Dometic s.a.r.l,Evaluated,Luxembourg,EUR,51375.0,"EUR 51,375.00NPR 155,000.00",NPR,5997878.0,"NPR5,997,878.75",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022097,JHS Analytic Traders,Awarded,Nepal,NPR,4320000.0,"NPR 4,320,000.00",NPR,4320000.0,"NPR4,320,000.00",NPR,4320000.0,"NPR4,320,000.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022097,Hospitec Enterprises Pvt. Ltd.,Evaluated,Nepal,USD,52290.0,"USD 52,290.00",NPR,4573283.0,"NPR4,573,283.40",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022097,Krishna International,Evaluated,Nepal,INR,4312500.0,"INR 4,312,500.00",NPR,6906468.0,"NPR6,906,468.75",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022091,BTC Private Limited,Awarded,Nepal,NPR,3598800.0,"NPR 3,598,800.00",NPR,3598800.0,"NPR3,598,800.00",NPR,3598800.0,"NPR3,598,800.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022091,Hospitec Enterprises,Evaluated,Nepal,USD,147600.0,"USD 147,600.00",NPR,12909096.0,"NPR12,909,096.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022089,Nilkamal Limited,Awarded,India,USD,164780.0,"USD 164,780.00",NPR,14411658.0,"NPR14,411,658.80",NPR,14411658.0,"NPR14,411,658.80"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022094,Krishna International,Awarded,Nepal,INR,10725000.0,"INR 10,725,000.00",NPR,17176087.0,"NPR17,176,087.50",NPR,17176087.0,"NPR17,176,087.50"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022094,Nilkamal Limited,Evaluated,India,USD,213785.0,"USD 213,785.00",NPR,18697636.0,"NPR18,697,636.10",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022094,Dometic s.a.r.l,Evaluated,Luxembourg,EUR,1416250.0,"EUR 1,416,250.00NPR 1,650,000.00",NPR,162720112.0,"NPR162,720,112.50",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022096,Hospitec Enterprises Pvt. Ltd.,Awarded,Nepal,EUR,26886.0,"EUR 26,886.00",NPR,3057744.0,"NPR3,057,744.78",NPR,3057744.0,"NPR3,057,744.78"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022123,Hospitec Pharma Pvt. Ltd.,Awarded,Nepal,NPR,19380000.0,"NPR 19,380,000.00",NPR,19380000.0,"NPR19,380,000.00",NPR,19380000.0,"NPR19,380,000.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022132,Kamla International,Awarded,Nepal,NPR,36240300.0,"NPR 36,240,300.00",NPR,36240300.0,"NPR36,240,300.00",NPR,36240300.0,"NPR36,240,300.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022127,Atlas Medicine Concern Pvt. Ltd.,Awarded,Nepal,NPR,167958000.0,"NPR 167,958,000.00",NPR,167958000.0,"NPR167,958,000.00",NPR,167958000.0,"NPR167,958,000.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022127,Hospitec Pharma Pvt. Ltd.,Evaluated,Nepal,NPR,183954000.0,"NPR 183,954,000.00",NPR,183954000.0,"NPR183,954,000.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022127,Laborate Pharmaceuticals India Limited,Evaluated,India,INR,117970500.0,"INR 117,970,500.00",NPR,188929755.0,"NPR188,929,755.75",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022127,Incepta Pharmaceuticals Limited,Evaluated,Bangladesh,USD,2399400.0,"USD 2,399,400.00",NPR,204908760.0,"NPR204,908,760.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022133,Mahashakti Suppliers,Awarded,Nepal,NPR,12445350.0,"NPR 12,445,350.00",NPR,12445350.0,"NPR12,445,350.00",NPR,12445350.0,"NPR12,445,350.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022133,Hospitec Enterprises,Evaluated,Nepal,NPR,56967870.0,"NPR 56,967,870.00",NPR,56967870.0,"NPR56,967,870.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022136,Hospitec Enterprises,Awarded,Nepal,USD,440940.0,"USD 440,940.00",NPR,37656276.0,"NPR37,656,276.00",NPR,37656276.0,"NPR37,656,276.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022120,Laborate Pharmaceuticals India Limited,Awarded,India,INR,6365250.0,"INR 6,365,250.00",NPR,10193947.0,"NPR10,193,947.88",NPR,10193947.0,"NPR10,193,947.88"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022120,Akash Medicine Distributor,Evaluated,Nepal,NPR,19503126.0,"NPR 19,503,126.00",NPR,19503126.0,"NPR19,503,126.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022130,Kamla International,Awarded,Nepal,NPR,4977000.0,"NPR 4,977,000.00",NPR,4977000.0,"NPR4,977,000.00",NPR,4977000.0,"NPR4,977,000.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022138,Surgicoin Mediequip Pvt. Ltd.,Awarded,India,INR,24214896.0,"INR 24,214,896.00",NPR,38780155.0,"NPR38,780,155.94",NPR,38780155.0,"NPR38,780,155.94"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022139,Hospitec Pharma Pvt. Ltd.,Awarded,Nepal,EUR,296348.0,"EUR 296,348.00",NPR,33392492.0,"NPR33,392,492.64",NPR,33392492.0,"NPR33,392,492.64"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022121,Atlas Medicine Concern Pvt. Ltd.,Awarded,Nepal,NPR,44880000.0,"NPR 44,880,000.00",NPR,44880000.0,"NPR44,880,000.00",NPR,44880000.0,"NPR44,880,000.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022121,Hospitec Pharma Pvt. Ltd,Evaluated,Nepal,NPR,46800000.0,"NPR 46,800,000.00",NPR,46800000.0,"NPR46,800,000.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022121,Laborate Pharmaceuticals India Limited,Evaluated,India,INR,30600000.0,"INR 30,600,000.00",NPR,49005900.0,"NPR49,005,900.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022124,Mahashakti Suppliers,Awarded,India,NPR,16740000.0,"NPR 16,740,000.00",NPR,16740000.0,"NPR16,740,000.00",NPR,16740000.0,"NPR16,740,000.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022124,Hospitec Pharma Pvt. Ltd.,Evaluated,Nepal,NPR,16380000.0,"NPR 16,380,000.00",NPR,16380000.0,"NPR16,380,000.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022125,Hospitec Pharma Pvt. Ltd.,Awarded,Nepal,NPR,192000000.0,"NPR 192,000,000.00",NPR,192000000.0,"NPR192,000,000.00",NPR,192000000.0,"NPR192,000,000.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022125,Laborate Pharmaceuticals India Limited,Evaluated,India,INR,140000000.0,"INR 140,000,000.00",NPR,224210000.0,"NPR224,210,000.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022126,Kamla International,Awarded,Nepal,INR,16810000.0,"INR 16,810,000.00",NPR,26921215.0,"NPR26,921,215.00",NPR,26921215.0,"NPR26,921,215.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022126,Incepta Pharmaceuticals Limited,Evaluated,Bangladesh,USD,315700.0,"USD 315,700.00",NPR,26960780.0,"NPR26,960,780.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022126,Laborate Pharmaceuticals India Limited,Evaluated,India,INR,20500000.0,"INR 20,500,000.00",NPR,32830750.0,"NPR32,830,750.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022126,Emerald Pharma,Evaluated,Nepal,NPR,38540000.0,"NPR 38,540,000.00",NPR,38540000.0,"NPR38,540,000.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022126,Arya Pharma Lab,Evaluated,Nepal,NPR,39360000.0,"NPR 39,360,000.00",NPR,39360000.0,"NPR39,360,000.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022126,Hospitec Pharma Pvt. Ltd.,Evaluated,Nepal,NPR,43460000.0,"NPR 43,460,000.00",NPR,43460000.0,"NPR43,460,000.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022137,Surgicoin Mediequip Pvt. Ltd.,Awarded,India,INR,1712490.0,"INR 1,712,490.00",NPR,2742552.0,"NPR2,742,552.74",NPR,2742552.0,"NPR2,742,552.74"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022122,Ruby Surgicals & Allied Products,Awarded,India,INR,24534000.0,"INR 24,534,000.00",NPR,39291201.0,"NPR39,291,201.00",NPR,39291201.0,"NPR39,291,201.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022129,Kamla International,Awarded,Nepal,NPR,56087055.0,"NPR 56,087,055.00",NPR,56087055.0,"NPR56,087,055.00",NPR,56087055.0,"NPR56,087,055.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022479,Surgicoin Mediequip Pvt. Ltd.,Awarded,India,INR,993427.0,"INR 993,427.50",NPR,1590974.0,"NPR1,590,974.14",NPR,1590974.0,"NPR1,590,974.14"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022489,National Bio-Medical Pvt. Ltd (Lead Firm) & Intemational Patho Sciencific Traders and R.Y. Traders (JV),Awarded,Nepal,NPR,11620400.0,"NPR 11,620,400.00",NPR,11620400.0,"NPR11,620,400.00",NPR,11620400.0,"NPR11,620,400.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022480,The Waves Group Trading Pvt. Ltd,Awarded,Nepal,INR,8997500.0,"INR 8,997,500.00",NPR,14409496.0,"NPR14,409,496.25",NPR,14409496.0,"NPR14,409,496.25"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022480,Surgicoin Medequip Pvt. Ltd,Evaluated,India,INR,12161250.0,"INR 12,161,250.00",NPR,19476241.0,"NPR19,476,241.88",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022481,Hospitec Enterprises Pvt. Ltd,Awarded,Nepal,INR,2997000.0,"INR 2,997,000.00",NPR,4799695.0,"NPR4,799,695.50",NPR,4799695.0,"NPR4,799,695.50"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022482,Krishna International,Awarded,Nepal,CNY,361613.0,"CNY 361,613.82",NPR,5095138.0,"NPR5,095,138.72",NPR,5095138.0,"NPR5,095,138.72"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022482,Hospitec Enterprises Pvt. Ltd,Evaluated,Nepal,INR,3436913.0,"INR 3,436,913.00",NPR,5504216.0,"NPR5,504,216.17",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022482,Surgicoin Medequip Pvt. Ltd,Evaluated,India,INR,5332796.0,"INR 5,332,796.10",NPR,8540472.0,"NPR8,540,472.92",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022483,Hospitec Enterprises Pvt. Ltd,Awarded,Nepal,INR,7880000.0,"INR 7,880,000.00",NPR,12619820.0,"NPR12,619,820.00",NPR,12619820.0,"NPR12,619,820.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022483,Saksham Diagnostic and Imaging Pvt. Ltd.,Evaluated,Nepal,NPR,24073000.0,"NPR 24,073,000.00",NPR,24073000.0,"NPR24,073,000.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022484,Kamla International,Awarded,Nepal,INR,674980.0,"INR 674,980.00",NPR,1080980.0,"NPR1,080,980.47",NPR,1080980.0,"NPR1,080,980.47"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022486,Surgicoin Medequip Pvt. Ltd,Awarded,India,INR,5865000.0,"INR 5,865,000.00",NPR,9392797.0,"NPR9,392,797.50",NPR,9392797.0,"NPR9,392,797.50"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022486,Biomed International Pvt. Ltd,Evaluated,Nepal,EUR,291600.0,"EUR 291,600.00",NPR,33210324.0,"NPR33,210,324.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022487,JHS Analytic Traders,Awarded,Nepal,NPR,3948000.0,"NPR 3,948,000.00",NPR,3948000.0,"NPR3,948,000.00",NPR,3948000.0,"NPR3,948,000.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022488,National Bio-Medical Pvt. Ltd (Lead Firm) & Intemational Patho Sciencific Traders and R.Y. Traders (JV),Awarded,Nepal,USD,37000.0,"USD 37,000.00",NPR,3239720.0,"NPR3,239,720.00",NPR,3239720.0,"NPR3,239,720.00"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022488,Saksham Diagnostic and Imaging Pvt .Ltd.,Evaluated,Nepal,NPR,6642400.0,"NPR 6,642,400.00",NPR,6642400.0,"NPR6,642,400.00",,,
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022490,Krishna International,Awarded,Nepal,INR,1208700.0,"INR 1,208,700.00",NPR,1935733.0,"NPR1,935,733.05",NPR,1935733.0,"NPR1,935,733.05"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022485,Surgicoin Medequip Pvt. Ltd,Awarded,India,INR,4197500.0,"INR 4,197,500.00",NPR,6722296.0,"NPR6,722,296.25",NPR,6722296.0,"NPR6,722,296.25"
P117417,http://search.worldbank.org/wcontractawards/procdetails/OP00022491,Hospitec Enterprises Pvt. Ltd,Awarded,Nepal,INR,19965960.0,"INR 19,965,960.00",NPR,31975484.0,"NPR31,975,484.94",NPR,31975484.0,"NPR31,975,484.94"
